MSG, ID, DLC, Signal, Start, Length, Endianess, Scaling, Offset, Minimum, Maximum, Signed, Units, Multiplexed, Floating,
TesterPhysicalResAFCM, 2029, 8, TesterPhysicalResAFCM, 7, 64, motorola, 1, 0, 0, 1.84467e+19, false, unitless, N/A, no, 
Battery_Mgmt_24V, 1070, 8, BattULo24_Ah_DeltaRide, 7, 15, motorola, 0.0078125, -100, -10, 155.992, false, amperehour, N/A, no, 
Battery_Mgmt_24V, 1070, 8, BattULo24_B_Falt, 8, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
Battery_Mgmt_24V, 1070, 8, BattULo24_I_Actl, 23, 14, motorola, 0.0625, -512, -512, 511.875, false, ampere, N/A, no, 
Battery_Mgmt_24V, 1070, 8, BattULo24State_D_Qlty, 25, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
Battery_Mgmt_24V, 1070, 8, BattULo24Soc_Pc_Actl, 39, 7, motorola, 1, 0, 0, 127, false, percent, N/A, no, 
DCAC_Data, 922, 8, DcacClntFlw_D_Rq, 5, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
DCAC_Data, 922, 8, CoolFanDcac_D_Rq, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, PrkAidAcsyFront_D_RqDrv_UB, 0, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, PrkAidAcsyFront_D_RqDrv, 2, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, PrkAidSwtch_D_RqMnu_UB, 3, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, PrkAidSwtch_D_RqMnu, 4, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, ApaSwtch_D_RqMnu_UB, 5, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, ApaSwtch_D_RqMnu, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, TrlrAidMsgTxt_D2_Rq_UB, 8, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, TrlrAidMsgTxt_D2_Rq, 14, 6, motorola, 1, 0, 0, 63, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, PrkAidAcsyRear_D_RqDrv_UB, 15, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, TrlrRvrseEnbl_D2_Stat_UB, 16, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, TrlrRvrseMsgTxt_D2_Rq_UB, 17, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, TrlrRvrseMsgTxt_D2_Rq, 23, 6, motorola, 1, 0, 0, 63, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, CtaRight_D_Stat_UB, 24, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, CtaLeft_D_Stat_UB, 25, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, CtaLeft_D_Stat, 28, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, TrlrRvrseEnbl_D2_Stat, 31, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, SodSnsLeft_D_Stat_UB, 32, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, SodSnsRight_D_Stat, 34, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, SodSnsLeft_D_Stat, 36, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, CtaRight_D_Stat, 39, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, PrkAidAcsyRear_D_RqDrv, 46, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData10_HS1, 1114, 8, SodSnsRight_D_Stat_UB, 47, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
Tire_Temp_Data, 955, 8, Tire_Temp_ILR_Data, 7, 8, motorola, 1, -60, -60, 193, false, degC, N/A, no, 
Tire_Temp_Data, 955, 8, Tire_Temp_IRR_Data, 15, 8, motorola, 1, -60, -60, 193, false, degC, N/A, no, 
Tire_Temp_Data, 955, 8, Tire_Temp_LF_Data, 23, 8, motorola, 1, -60, -60, 193, false, degC, N/A, no, 
Tire_Temp_Data, 955, 8, Tire_Temp_OLR_Data, 31, 8, motorola, 1, -60, -60, 193, false, degC, N/A, no, 
Tire_Temp_Data, 955, 8, Tire_Temp_ORR_Data, 39, 8, motorola, 1, -60, -60, 193, false, degC, N/A, no, 
Tire_Temp_Data, 955, 8, Tire_Temp_RF_Data, 47, 8, motorola, 1, -60, -60, 193, false, degC, N/A, no, 
DigitalComm_Data3, 743, 8, EvseChrgOutHi_I_Actl, 7, 15, motorola, 0.05, -750, -750, 888.25, false, ampere, N/A, no, 
DigitalComm_Data3, 743, 8, EvseChrgOutHi_U_Actl, 23, 10, motorola, 0.5, 0, 0, 510.5, false, volt, N/A, no, 
TesterPhysicalResDCACA, 1785, 8, TesterPhysicalResDCACA, 7, 64, motorola, 1, 0, 0, 1.84467e+19, false, unitless, N/A, no, 
TesterPhysicalReqDCACA, 1777, 8, TesterPhysicalReqDCACA, 7, 64, motorola, 1, 0, 0, 1.84467e+19, false, unitless, N/A, no, 
DigitalComm_Data2, 1097, 8, EvseChrg_I_Mn, 7, 12, motorola, 0.1, 0, 0, 409.4, false, ampere, N/A, no, 
DigitalComm_Data2, 1097, 8, EvseChrg_I_Mx, 11, 12, motorola, 0.1, 0, 0, 409.4, false, ampere, N/A, no, 
DigitalComm_Data2, 1097, 8, EvseChrg_Pw_Mx, 31, 12, motorola, 50, 0, 0, 204700, false, watts, N/A, no, 
DigitalComm_Data2, 1097, 8, EvseChrg_U_Mn, 35, 10, motorola, 0.5, 0, 0, 510.5, false, volt, N/A, no, 
DigitalComm_Data2, 1097, 8, EvseChrg_U_Mx, 41, 10, motorola, 0.5, 0, 0, 510.5, false, volt, N/A, no, 
ATM_ClusterData_HS1, 916, 8, FirstRowBuckleDriver2_UB, 5, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
ATM_ClusterData_HS1, 916, 8, FirstRowBuckleDriver2, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
DigitalComm_Data, 607, 8, DcChrgWarnLamp_B_Rq, 0, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
DigitalComm_Data, 607, 8, DcChrgSrvcRqd_B_Rq, 1, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
DigitalComm_Data, 607, 8, EvseChrgIso_D_Stat, 3, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
DigitalComm_Data, 607, 8, DgtlCommGtwyMde_D_Stat, 7, 4, motorola, 1, 0, 0, 15, false, SED, N/A, no, 
DigitalComm_Data, 607, 8, EvseDcChrgIso_D_Stat, 10, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
DigitalComm_Data, 607, 8, BattTracIsoDis_B_Rq, 11, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
DigitalComm_Data, 607, 8, DcChrgRdy_D_Stat, 15, 4, motorola, 1, 0, 0, 15, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt4_D_Stat, 1, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt3_D_Stat, 3, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt2_D_Stat, 5, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt1_D_Stat, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt8_D_Stat, 9, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt7_D_Stat, 11, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt6_D_Stat, 13, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt5_D_Stat, 15, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt12_D_Stat, 17, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt11_D_Stat, 19, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt10_D_Stat, 21, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt9_D_Stat, 23, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt16_D_Stat, 25, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt15_D_Stat, 27, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt14_D_Stat, 29, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt13_D_Stat, 31, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt20_D_Stat, 33, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt19_D_Stat, 35, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt18_D_Stat, 37, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt17_D_Stat, 39, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt24_D_Stat, 41, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt23_D_Stat, 43, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt22_D_Stat, 45, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt21_D_Stat, 47, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt28_D_Stat, 49, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt27_D_Stat, 51, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt26_D_Stat, 53, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt25_D_Stat, 55, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt32_D_Stat, 57, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt31_D_Stat, 59, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt30_D_Stat, 61, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BatteryCharge_Data3, 749, 8, ChrgrSysFalt29_D_Stat, 63, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
PaakCtlData6_HS1, 624, 8, PaakAddEraseIndx_No_Rq, 5, 6, motorola, 1, 0, 0, 63, false, unitless, N/A, no, 
PaakCtlData6_HS1, 624, 8, PaakAddErase_D_Rq, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
Battery_Traction_8, 591, 8, BattTrac_E_Nom, 7, 12, motorola, 50, 0, 0, 204650, false, watt*hr, N/A, no, 
Battery_Traction_8, 591, 8, BattTrac_U_Nom, 11, 10, motorola, 0.5, 0, 0, 510.5, false, volt, N/A, no, 
Battery_Traction_8, 591, 8, BattTrac_Ah_Nom, 31, 12, motorola, 0.1, 0, 0, 409.4, false, ampere*hour, N/A, no, 
Battery_Traction_8, 591, 8, BattTracType_D_Actl, 35, 4, motorola, 1, 0, 0, 15, false, SED, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgSetDelete_B_Rq, 1, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgPrflUpdate_B_Rq, 2, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgLocIdUns_B_Rq, 3, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgLocIdTrgt_No_Rq, 7, 4, motorola, 1, 0, 0, 15, false, Unitless, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgPrflWkdy_No_Rq, 15, 24, motorola, 1, 0, 0, 1.67773e+07, false, unitless, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgPrflWknd_No_Rq, 39, 24, motorola, 1, 0, 0, 1.67773e+07, false, unitless, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgToPcWknd_D_Actl, 58, 3, motorola, 1, 0, 0, 7, false, percent, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgToPcWkdy_D_Actl, 61, 3, motorola, 1, 0, 0, 7, false, percent, N/A, no, 
TCU_Request_Signals_4_HS1, 530, 8, OfbChrgSetNow_D_Rq, 63, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgToPcWknd_D_Actl, 2, 3, motorola, 1, 0, 0, 7, false, percent, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgSetDelete_B_Rq, 3, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgLocIdTrgt_No_Rq, 7, 4, motorola, 1, 0, 0, 15, false, Unitless, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgPrflWkdy_No_Rq, 15, 24, motorola, 1, 0, 0, 1.67773e+07, false, unitless, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgPrflWknd_No_Rq, 39, 24, motorola, 1, 0, 0, 1.67773e+07, false, unitless, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgPrflUpdate_B_Rq, 56, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgLocIdUns_B_Rq, 57, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgToPcWkdy_D_Actl, 60, 3, motorola, 1, 0, 0, 7, false, percent, N/A, no, 
APIM_Request_Signals_5_HS1, 529, 8, OnbChrgSetNow_D_Rq, 63, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
PaakCtlData4_HS1, 621, 8, FobTrgtPssvData_No_Rq, 7, 40, motorola, 1, 0, 0, 1.09951e+12, false, Encrypted, N/A, no, 
PaakCtlData4_HS1, 621, 8, IgnPsswrdActv_B_Stat, 40, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
PaakCtlData4_HS1, 621, 8, FobTrgtType_D_Rq, 43, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
PaakCtlData4_HS1, 621, 8, FobTrgtRollCode_No_Rq, 47, 4, motorola, 1, 0, 0, 15, false, unitless, N/A, no, 
PaakCtlData4_HS1, 621, 8, FobTrgtZone_D_Rq, 55, 4, motorola, 1, 0, 0, 15, false, SED, N/A, no, 
Body_Info_12, 622, 8, FobCtlPssvData_No_Actl, 7, 40, motorola, 1, 0, 0, 1.09951e+12, false, Encrypted, N/A, no, 
Body_Info_12, 622, 8, FobCtlType_D_Stat, 43, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
Body_Info_12, 622, 8, FobCtlRollCode_No_Stat, 47, 4, motorola, 1, 0, 0, 15, false, unitless, N/A, no, 
Battery_Traction_7, 590, 8, BattChrg_I_Mx, 7, 12, motorola, 0.1, 0, 0, 409.4, false, ampere, N/A, no, 
Battery_Traction_7, 590, 8, BattChrg_U_Mx, 11, 10, motorola, 0.5, 0, 0, 510.5, false, volt, N/A, no, 
Battery_Traction_7, 590, 8, BattChrg_Te_Mx, 17, 10, motorola, 0.5, -50, -50, 460.5, false, degC, N/A, no, 
Battery_Traction_7, 590, 8, BattChrgCell_U_Mx, 39, 12, motorola, 0.001, 1, 1, 5.093, false, volt, N/A, no, 
GatewayData8_HS1, 1050, 8, FactoryReset_Rq_UB, 0, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, FactoryReset_Rq, 1, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, TrlrAidEnbl_D2_Stat_UB, 2, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, TrlrAidEnbl_D2_Stat, 5, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, StopStrtDrvMde_B_RqBtn3_UB, 6, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, StopStrtDrvMde_B_RqBtn3, 7, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, HybMdeSwtch_B_Rq_UB, 8, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, HybMdeSwtch_B_Rq, 9, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, DrLckCnt_No_ActlTgate_UB, 10, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, SelDrvMdeAwd_D_Rq_UB, 11, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, TelematicsSrvc_D_St_UB, 12, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, TelematicsSrvc_D_St, 15, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, ModemReset_D_Rq_UB, 18, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, SelDrvMdeAwd_D_Rq, 23, 5, motorola, 1, 0, 0, 31, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, ModemReset_D_Rq, 27, 4, motorola, 1, 0, 0, 15, false, SED, N/A, no, 
GatewayData8_HS1, 1050, 8, DrLckCnt_No_ActlTgate, 31, 4, motorola, 1, 0, 0, 15, false, unitless, N/A, no, 
EngineData_Gas, 382, 8, EngInnrClnt_Te_Actl, 7, 7, motorola, 1, 50, 50, 175, false, degC, N/A, no, 
EngineData_Gas, 382, 8, EngMnfldChrg_Te_Actl, 15, 7, motorola, 1, -20, -20, 105, false, degC, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrChildLck_No_Cnt_UB, 0, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrChildLck_No_Cnt, 4, 4, motorola, 1, 0, 0, 15, false, unitless, N/A, no, 
GatewayData6_HS1, 1217, 8, Sldrr_D_Stat_UB, 5, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, Sldrr_D_Stat, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrUnlckSwtch_D_Stat_UB, 8, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrUnlckSwtch_D_Stat, 10, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrUnlck_No_Cnt_UB, 11, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrUnlck_No_Cnt, 15, 4, motorola, 1, 0, 0, 15, false, unitless, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrUnlckRollCd_No_Cnt, 23, 16, motorola, 1, 0, 0, 65535, false, unitless, N/A, no, 
GatewayData6_HS1, 1217, 8, StopStrtVThres_D_RqMnu_UB, 36, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, StopStrtVThres_D_RqMnu, 38, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GatewayData6_HS1, 1217, 8, SldrrUnlckRollCd_No_Cnt_UB, 39, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
HEV_Powertrain_Data8, 606, 8, ElVehNowMde_D_Stat, 5, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
HEV_Powertrain_Data8, 606, 8, ElVehLaterMde_D_Stat, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
GoTimeSettings, 1016, 8, ChrgGoTTouch_B_Stat, 0, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GoTimeSettings, 1016, 8, ChrgGoTExtHtrEnbl_B_Rq, 1, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GoTimeSettings, 1016, 8, ChrgGoTExtHtr_B_Stat, 2, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
GoTimeSettings, 1016, 8, ChrgGoTElement_D_Stat, 6, 4, motorola, 1, 0, 0, 15, false, Unitless, N/A, no, 
GoTimeSettings, 1016, 8, ChrgGoTAllOn_B_Stat, 7, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
